Entity,relation,Newnode
向日葵列当,分布区域,新疆
向日葵列当,分布区域,山西
向日葵列当,分布区域,内蒙古
向日葵列当,分布区域,黑龙江
向日葵列当,分布区域,辽宁
向日葵列当,分布区域,吉林
向日葵列当,寄主,向日葵
向日葵列当,寄主,西瓜
向日葵列当,寄主,甜瓜
向日葵列当,寄主,豌豆
向日葵列当,寄主,蚕豆
向日葵列当,寄主,胡萝卜
向日葵列当,寄主,芹菜
向日葵列当,寄主,烟草
向日葵列当,寄主,亚麻
向日葵列当,寄主,番茄
向日葵列当,为害部位,根部
向日葵列当,病原学名,OrobanchecumanaWallr.
向日葵列当,病原中文名,向日葵列当
向日葵列当,防治药物,2.4-D丁脂水溶液
向日葵桃蛀螟,学名,Dichocrocispunctiferalis(Guenee)
向日葵桃蛀螟,属目,鳞翅目
向日葵桃蛀螟,属科,螟蛾科
向日葵桃蛀螟,分布区域,黑龙江
向日葵桃蛀螟,分布区域,内蒙古
向日葵桃蛀螟,分布区域,台湾
向日葵桃蛀螟,分布区域,海南
向日葵桃蛀螟,分布区域,黄河
向日葵桃蛀螟,分布区域,淮河
向日葵桃蛀螟,分布区域,长江流域
向日葵桃蛀螟,寄主,向日葵
向日葵桃蛀螟,寄主,高粱
向日葵桃蛀螟,寄主,玉米
向日葵桃蛀螟,寄主,麻类作物
向日葵桃蛀螟,寄主,果树
向日葵桃蛀螟,防治药物,50％杀螟硫磷
向日葵桃蛀螟,防治药物,50％辛硫磷乳油1000―1500倍液
向日葵白粉病,为害部位,叶片
向日葵白粉病,病原学名,Sphaerothecafuliginea(Schlecht.)Poll.
向日葵白粉病,病原中文名,苍耳单丝壳
向日葵白粉病,病原学名,ErysiphecichoracearumDC.
向日葵白粉病,病原中文名,菊科白粉菌
向日葵白粉病,病原属性,子囊菌亚门真菌
向日葵白粉病,防治药物,1：1：160倍式波尔多液
向日葵白粉病,防治药物,15%粉锈宁可湿性粉剂800-1000倍液
向日葵白粉病,防治药物,50%苯菌灵可湿性粉剂1000-1500倍液
向日葵花叶病毒病,病原学名,Cucumbermosaicvirus
向日葵花叶病毒病,病原中文名,黄瓜花叶病毒的1个株系
向日葵花叶病毒病,病原属性,病毒
向日葵花叶病毒病,寄主,向日葵
向日葵花叶病毒病,寄主,万寿菊
向日葵花叶病毒病,寄主,矢车菊
向日葵花叶病毒病,寄主,金盏菊
向日葵花叶病毒病,寄主,烟草
向日葵花叶病毒病,寄主,番茄
向日葵花叶病毒病,寄主,辣椒
向日葵花叶病毒病,寄主,黄瓜
向日葵花叶病毒病,寄主,南瓜
向日葵花叶病毒病,寄主,西葫芦
向日葵花叶病毒病,寄主,油菜
向日葵花叶病毒病,寄主,玉米
向日葵锈病,分布区域,世界各地
向日葵锈病,为害部位,叶片
向日葵锈病,为害部位,叶柄
向日葵锈病,为害部位,茎秆
向日葵锈病,为害部位,葵盘
向日葵锈病,病原学名,PucciniahelianthiXchw.
向日葵锈病,病原中文名,向日葵柄锈菌
向日葵锈病,病原属性,担子菌亚门真菌
向日葵锈病,寄主,向日葵
向日葵锈病,寄主,小花葵
向日葵锈病,寄主,菊芋
向日葵锈病,寄主,狭叶葵
向日葵锈病,寄主,暗红葵
向日葵锈病,防治药物,25%羟锈宁可湿性粉剂
向日葵锈病,防治药物,15%三唑酮可湿性粉剂1000-1500倍液
向日葵锈病,防治药物,50%萎锈灵乳油800倍液
向日葵锈病,防治药物,50%硫磺悬浮剂300倍液
向日葵锈病,防治药物,25%敌力脱乳油3000倍液
向日葵锈病,防治药物,25%敌力脱乳油4000倍液
向日葵锈病,防治药物,15%三唑酮可湿性粉剂2000倍液
向日葵锈病,防治药物,70%代森锰锌可湿性粉剂1000倍液
向日葵锈病,防治药物,15%三唑酮可湿性粉剂2000倍液
向日葵锈病,防治药物,30%因体石硫合剂150倍液
向日葵锈病,防治药物,12.5%速保利可湿性粉剂3000倍液
咖啡豆象,学名,AraecerusfasciculatusDegeer
咖啡豆象,属目,鞘翅目
咖啡豆象,属科,长角象科
咖啡豆象,分布区域,辽宁
咖啡豆象,分布区域,内蒙古
咖啡豆象,分布区域,河北
咖啡豆象,分布区域,陕西
咖啡豆象,分布区域,甘肃
咖啡豆象,分布区域,台湾
咖啡豆象,分布区域,海南
咖啡豆象,分布区域,广东
咖啡豆象,分布区域,广西
咖啡豆象,分布区域,云南
咖啡豆象,分布区域,东面滨海
咖啡豆象,分布区域,甘肃
咖啡豆象,分布区域,青海
咖啡豆象,分布区域,四川
咖啡豆象,分布区域,云南
咖啡豆象,分布区域,西藏
咖啡豆象,寄主,玉米
咖啡豆象,寄主,甘薯
咖啡豆象,寄主,大蒜
咖啡豆象,寄主,药材
咖啡豆象,为害部位,内部
咖啡豆象,防治药物,56％磷化铝
大刺儿菜,学名,Cephalanoplossetosum(Willd．)Kitaml
大刺儿菜,异名,Cirsiumsetosum(Willd．)MB．
大刺儿菜,属科,菊科多年生草本植物
大刺儿菜,别名,大蓟
大刺儿菜,分布区域,华北
大刺儿菜,分布区域,东北
大刺儿菜,分布区域,陕西
大刺儿菜,分布区域,河南
大刺儿菜,生长地,农田
大刺儿菜,生长地,路旁
大刺儿菜,生长地,荒地
大刺儿菜,寄主,小麦
大刺儿菜,寄主,大豆
大刺儿菜,寄主,棉花
大刺儿菜,寄主,果园
大地老虎,学名,Tracheatokionis(Butler)
大地老虎,异名,AgrotistokionisButler
大地老虎,属目,鳞翅目
大地老虎,属科,夜蛾科
大地老虎,别名,黑虫
大地老虎,别名,地蚕
大地老虎,别名,土蚕
大地老虎,别名,切根虫
大地老虎,别名,截虫
大地老虎,分布区域,黑龙江
大地老虎,分布区域,内蒙古
大地老虎,分布区域,福建
大地老虎,分布区域,江西
大地老虎,分布区域,湖南
大地老虎,分布区域,广西
大地老虎,分布区域,云南
大地老虎,寄主,蔬菜
大地老虎,寄主,玉米
大地老虎,寄主,烟草
大地老虎,寄主,棉花
大地老虎,寄主,果树幼苗
大地老虎,为害部位,苗木
大地老虎,防治药物,50%辛硫磷乳油
大地老虎,防治药物,2.5%溴氰菊酯乳油
大地老虎,防治药物,40%氯氰菊酯乳油
大地老虎,防治药物,90%晶体敌百虫
大地老虎,防治药物,2.5%溴氰菊酯乳油
大地老虎,防治药物,50%辛硫磷乳油
大地老虎,防治药物,40%甲基异柳磷乳油
大地老虎,防治药物,90%晶体敌百虫
大家鼠,学名,Rattusnorvegicus(Berkenhout)
大家鼠,属目,啮齿目
大家鼠,属科,鼠科
大家鼠,别名,褐家鼠
大家鼠,别名,沟鼠
大家鼠,别名,挪威鼠
大家鼠,别名,白尾吊
大家鼠,别名,大老鼠
大家鼠,分布区域,全国各地
大家鼠,寄主,蔬菜
大家鼠,寄主,肉类
大家鼠,寄主,水果
大家鼠,寄主,糖果
大家鼠,寄主,含水较多的其它食品
大家鼠,寄主,食用菌
大家鼠,防治药物,敌鼠钠盐
大家鼠,防治药物,杀鼠脒
大家鼠,防治药物,杀鼠灵
大家鼠,防治药物,溴敌隆
大家鼠,防治药物,大隆
大家鼠,防治药物,氯敌鼠
大谷盗,学名,Tenebroidesmauritanicus(Linnaeus)
大谷盗,属目,鞘翅目
大谷盗,属科,谷盗科
大谷盗,别名,米蛀虫
大谷盗,别名,乌壳虫
大谷盗,分布区域,中国
大谷盗,分布区域,世界各地
大谷盗,寄主,禾谷类
大谷盗,寄主,豆类
大谷盗,寄主,油料
大谷盗,寄主,药材
大谷盗,寄主,干果
大谷盗,寄主,大米
大谷盗,寄主,稻谷
大谷盗,寄主,小麦
大谷盗,寄主,玉米
大谷盗,为害部位,胚部
大谷盗,防治药物,磷化铝
大谷盗,防治方法相同,蚕豆象
大豆叶斑病,为害部位,叶片
大豆叶斑病,病原学名,MycosphaerellasojaeHori
大豆叶斑病,病原中文名,大豆球腔菌
大豆叶斑病,病原属性,子囊菌亚门真菌
大豆叶斑病,病原学名,M.cruenta(Sacc.)Lath和M.phaseo10rumSiemszko.
大豆羞萎病,为害部位,叶片
大豆羞萎病,为害部位,叶柄
大豆羞萎病,病原学名,Septog10eumsojaeYoshii&amp;Nish.
大豆羞萎病,病原中文名,大豆粘隔胞
大豆羞萎病,病原属性,半知菌亚门真菌
大豆羞萎病,防治药物,40%拌种双
大豆羞萎病,防治药物,50%苯菌灵可湿性粉剂
大豆羞萎病,防治药物,50%苯菌灵可湿性粉剂1500倍液
大豆羞萎病,防治药物,36%甲基硫菌灵悬浮剂600倍液
大豆羞萎病,防治药物,50%多菌灵可湿性粉剂600-700倍液
大豆胞囊线虫病,别名,大豆根线虫病
大豆胞囊线虫病,别名,萎黄线虫病
大豆胞囊线虫病,别名,“火龙秧子”
大豆胞囊线虫病,为害部位,根系
大豆胞囊线虫病,病原学名,HeteroderaglycinesIchinohe
大豆胞囊线虫病,病原中文名,大豆胞囊线虫
大豆胞囊线虫病,病原属性,线虫动物门线虫
大豆胞囊线虫病,防治药物,甲基异柳磷水溶性颗粒剂
大豆胞囊线虫病,防治药物,3%克线磷
大豆胞囊线虫病,防治药物,3%呋喃丹颗粒剂
大豆胞囊线虫病,防治药物,5%甲拌磷颗粒剂
大豆胞囊线虫病,防治药物,10%涕灭威颗粒剂
大豆茎枯病,分布区域,东北
大豆茎枯病,分布区域,华北
大豆茎枯病,为害部位,茎部
大豆茎枯病,病原学名,PhomaglycinesSaw.
大豆茎枯病,病原中文名,大豆茎点霉
大豆茎枯病,病原属性,半知菌亚门真菌
大豆茎黑点病,为害部位,叶柄
大豆茎黑点病,病原学名,PhomopsissojaeLehman
大豆茎黑点病,病原中文名,大豆拟茎点霉
大豆茎黑点病,病原属性,半知菌亚门真菌
大豆茎黑点病,病原学名,Diaporthephaseo10rumvar.sojae(Lehman)Wehm.
大豆茎黑点病,病原中文名,菜豆间座壳大豆变种
大豆茎黑点病,病原属性,子囊菌亚门真菌
大豆茎黑点病,防治药物,50%福美双或拌种双粉剂
大豆药害,为害部位,叶片
大豆药害,防治药物,赤霉素
大豆药害,防治药物,草木灰
大豆药害,防治药物,活性炭
大豆药害,防治药物,0.2%的碳酸钠
大豆药害,防治药物,绿风95
大豆药害,防治药物,高美施第二代高美施--金必来
大豆药害,防治药物,植物动力2003
大豆菌核病,别名,白腐病
大豆菌核病,分布区域,全国各地
大豆菌核病,分布区域,黑龙江
大豆菌核病,分布区域,内蒙古
大豆菌核病,为害部位,地上部
大豆菌核病,病原学名,Sclerotiniasclerotiorum(Lib.)deBary
大豆菌核病,病原中文名,核盘菌
大豆菌核病,病原属性,子囊菌亚门真菌
大豆菌核病,防治药物,40%多・硫悬浮剂600-700倍液
大豆菌核病,防治药物,70%甲基硫菌灵可湿性粉剂500-600倍液
大豆菌核病,防治药物,50%混杀硫悬浮剂600倍液
大豆菌核病,防治药物,80%多菌灵可湿性粉剂600-700倍液
大豆菌核病,防治药物,50%扑海因可湿性粉剂1000-1500倍液
大豆菌核病,防治药物,12.5%治萎灵水剂500倍液
大豆菌核病,防治药物,40%治萎灵粉剂1000倍液
大豆菌核病,防治药物,50%扑海因可湿性粉剂1000-1500倍液
大豆菌核病,防治药物,12.5%治萎灵水剂500倍液
大豆菌核病,防治药物,40%治萎灵粉剂1000倍液
大豆菌核病,防治药物,50%复方菌核净1000倍液
大豆菌核病,防治药物,真菌王肥
大豆赤霉病,为害部位,豆荚
大豆赤霉病,为害部位,子粒
大豆赤霉病,为害部位,幼苗子叶
大豆赤霉病,病原学名,Fusariumroseum(Link)SnyderetHansen
大豆赤霉病,病原中文名,粉红镰孢
大豆赤霉病,病原学名,F.oxysporumSchlecht.
大豆赤霉病,病原中文名,尖镰孢
大豆赤霉病,病原属性,半知菌亚门真菌
大豆赤霉病,病原学名,F.semitectumBerk.etRav.
大豆赤霉病,病原中文名,半裸镰孢
大豆赤霉病,防治药物,60%防霉宝水溶性粉剂1000倍液
大豆赤霉病,防治药物,50%苯菌灵可湿性粉剂1500倍液
大豆霜霉病,分布区域,东北
大豆霜霉病,分布区域,华北
大豆霜霉病,为害部位,幼苗
大豆霜霉病,为害部位,叶片
大豆霜霉病,为害部位,豆粒
大豆霜霉病,病原学名,Peronosporamanschurica(Naum.)Syd.
大豆霜霉病,病原中文名,东北霜霉
大豆霜霉病,病原属性,鞭毛菌亚门真菌
大豆霜霉病,防治药物,90%乙膦铝
大豆霜霉病,防治药物,35%甲霜灵(瑞毒霉)粉剂
大豆霜霉病,防治药物,40%百菌清悬浮剂600倍液
大豆霜霉病,防治药物,25%甲霜灵可湿性粉剂800倍液
大豆霜霉病,防治药物,58%甲霜灵・锰锌可湿性粉剂600倍液
大豆霜霉病,防治药物,69%安克锰锌可湿性粉剂900-1000倍液
大麦坚黑穗病,为害部位,小花
大麦坚黑穗病,为害部位,小穗
大麦坚黑穗病,病原学名,Ustilagohordei(Pers.)Lagerh.
大麦坚黑穗病,病原中文名,大麦坚黑粉菌
大麦坚黑穗病,病原属性,担子菌亚门真菌
大麦坚黑穗病,防治药物,2%立克秀拌种剂(德国拜耳公司)
大麦斑点病,别名,根腐病
大麦斑点病,别名,黑点病
大麦斑点病,分布区域,东北
大麦斑点病,分布区域,华北
大麦斑点病,分布区域,西北
大麦斑点病,分布区域,浙江
大麦斑点病,为害部位,茎基
大麦斑点病,为害部位,穗部
大麦斑点病,病原学名,Cochliobolussativus(ItoetKurib.)Drechsl.
大麦斑点病,病原中文名,禾旋孢腔菌
大麦斑点病,病原属性,子囊菌亚门真菌
大麦条纹病,分布区域,各大麦栽培区
大麦条纹病,为害部位,地上部
大麦条纹病,为害部位,叶片
大麦条纹病,为害部位,叶鞘
大麦条纹病,病原学名,Drechsleragraminea(Rabenh.)Shoem.HelminthosporiumgramineumRabenh.
大麦条纹病,病原中文名,禾内脐蠕孢
大麦条纹病,病原属性,半知菌亚门真菌
大麦条纹病,病原学名,Pyrenophoragraminea(Rabenh.)ItoetKurib.
大麦条纹病,病原中文名,麦类核菌
大麦条纹病,病原属性,子囊菌亚门真菌
大麦条纹病,防治药物,1%石灰水
大麦条纹病,防治药物,5%硫酸亚铁溶液
大麦条纹病,防治药物,50%苯菌灵可湿性粉剂1000―1500倍液
大麦条纹病,防治药物,25%苯菌灵乳油800倍液
大麦缺素症,为害部位,老叶
大麦缺素症,为害部位,叶片
大麦缺素症,为害部位,主茎
大麦缺素症,防治药物,酵素菌沤制的堆肥
大麦缺素症,防治药物,有机肥
大麦缺素症,防治药物,过磷酸钙
大麦缺素症,防治药物,钾肥
大麦缺素症,防治药物,0.5%氯化钾
大麦缺素症,防治药物,草木灰浸提液
大麦缺素症,防治药物,硫酸锰
大麦缺素症,防治药物,0.05%―0.1%硫酸锰溶液
大麦网斑病,为害部位,叶片
大麦网斑病,为害部位,叶鞘
大麦网斑病,病原学名,Drechslerateres(Sacc.)Shoem.=HelmnthosporiumtrersSacc.
大麦网斑病,病原中文名,大麦网斑内脐蠕孢
大麦网斑病,病原属性,半知菌亚门真菌
大麦网斑病,防治药物,50%多菌灵可湿性粉剂800倍液
大麦网斑病,防治药物,60%防霉宝超微可湿性粉剂100―1500倍液
大麦网斑病,防治药物,70%代森锰锌可湿性粉剂500倍液
大麦黄花叶病,分布区域,长江流域
大麦黄花叶病,分布区域,江苏
