title,lable
黑曲霉,newNode
侧柏,newNode
72%克露(霜脲锰锌)可湿性粉剂600―700倍液,newNode
50%退菌特可湿性粉剂800～1000倍液,newNode
50％巴丹可溶性粉剂2000倍液,newNode
50％辛硫磷800倍液,newNode
蛇麻草,newNode
甘蔗虎斑病,newNode
40%克瘟散乳油50-75ml,newNode
50%腐霉利可湿性粉剂1500-2000倍液,newNode
茄病镰孢蓝色变种,newNode
50％琥胶肥酸铜可湿性粉剂350倍液,newNode
甘蔗灰粉蚧,newNode
CyperusiriaL．,newNode
水稻生长点汁液,newNode
棉花焦条丽夜峨,newNode
AphisgossypiiGliver,newNode
Trialeurodesvaporariorum(Westwood),newNode
RhizoctoniasolaniKuhnAG一1一IA菌丝融合群和AG一4菌丝融合群,newNode
50%抗蚜威可湿性粉剂2000倍液,newNode
芒早稗,newNode
茶叶,newNode
1：1：100倍式波乐多液,newNode
药用植物害虫咖啡透翅天蛾,newNode
灭黑1号胶悬剂250倍液,newNode
黄谅蚁,newNode
20％杀灭菊酯乳油2000一3000倍液,newNode
香石竹,newNode
Sorosporiumreiliaum(Ktlhn．)Mc．Alp．,newNode
牛蒡长管蚜,newNode
"Phyllostictaglumarum(Ell.etFr.)Miyake=Phomasorghina(Scc.)Boerema,Dorenb.etKest",newNode
VerticilliumdahliaeKleb．,newNode
PhomaoryzicolaHara=PhyllostictaoryzaeHara,newNode
90％甲基托布津可湿性粉剂l000倍液,newNode
结节处,newNode
药用植物唐菖蒲(标杆花)叶斑病,newNode
德巴利腐霉,newNode
Bemisiatabaci(Gennadius),newNode
10%氯霉素100g,newNode
秋千毛虫,newNode
叶爪螨科,newNode
蜱螨目,newNode
多主枝孢,newNode
Globoderarostochiensis(Wollenweber)Behrens,newNode
Bipolarissetariae(Saw.)Shoem，＝HelminthosporiumsetariaeSaw.,newNode
Stolliaguttiger(Thunberg),newNode
棉壳色单隔孢或棉色二孢,newNode
CorynesporasesamumGoto,newNode
Nymphulavittalis(Bremer),newNode
花峡蝶,newNode
70%甲基硫菌灵(甲基托市津)可湿粉,newNode
地下根状茎,newNode
解肌退热、生津止渴、透发斑疹,newNode
10．8％凯撒乳油,newNode
70%乙膦·锰锌可湿性粉剂500倍液,newNode
药用植物佛手菌核病,newNode
华东北部,newNode
10％多菌灵胶悬剂700倍液,newNode
A.melicerta(Drury),newNode
敌杀死,newNode
50％速克灵可湿性粉剂1500―20p0倍液,newNode
大豆缺素症,newNode
日本酵素菌沤制的堆肥,newNode
牛劳,newNode
桑树美国白峨,newNode
长尾黑线鼠,newNode
葵菜,newNode
田边,newNode
蚕豆锈病,newNode
棉花红粉病,newNode
40％灭菌丹可湿性粉剂500倍液,newNode
石竹,newNode
36％甲基硫苯菌灵乳油800倍液,newNode
二星蝽,newNode
3%恶甲水剂300倍液,newNode
出土的幼苗,newNode
75％辛硫磷乳油1000倍液,newNode
澳州瓢虫,newNode
F.culmorum,newNode
谷长蠹,newNode
69％安克，锰锌可湿性粉剂900一1000倍液,newNode
桑虱,newNode
大蚕蛾科,newNode
PeronosporapisiH.SydowinGaumann,newNode
枝条嫩梢,newNode
大豆荚瘿蝇,newNode
Mycoplasma-likeorganism,newNode
50％辛硫磷乳油1500倍液,newNode
药用植物杜仲立枯病,newNode
U.tritici(Pers.)Rostr.,newNode
苦参,newNode
?药用植物田旋花白粉病,newNode
橘叶,newNode
OpiusphaseoliFischer,newNode
辣蓼,newNode
95％敌克松原粉,newNode
50％易卫杀可溶性粉剂,newNode
40％蚜灭多乳油1000一1500倍液,newNode
黄耗子,newNode
CryptotheleaformosicolaStrand,newNode
国境线,newNode
大部分蔬菜区,newNode
MaladeraorientalisMotschulsky,newNode
天牛科,newNode
药用植物害虫菜粉蝶,newNode
25％爱卡士乳油l000倍液,newNode
1%生石灰水,newNode
Cu―cumbermosaicvirus,newNode
64%杀毒矾M8可湿性粉剂,newNode
沟叩头虫,newNode
45％代森铵水剂500倍液,newNode
1％过磷酸钙浸提液,newNode
充分腐熟的有机肥,newNode
树干,newNode
20％扑虱灵乳油2000倍液,newNode
恶疫霉,newNode
35％驱蛆磷乳油2000倍液,newNode
Atheliarolf-sii(Curzi)Tu．＆Kimbrough．,newNode
锈病,newNode
月桂,newNode
茄镰孢,newNode
胚根,newNode
Criocerisquatuordecimpunctata(Scopolic),newNode
0.1％的洗衣粉,newNode
2.5％溴氰菊酯乳油2000倍液,newNode
G．fujikuroi(Saw．)Wr．,newNode
CercosporasorghiEv．,newNode
稻苞虫,newNode
肿囊腐霉,newNode
红花烟草,newNode
叶片,newNode
1％草甘磷除草剂,newNode
40％多?硫悬浮剂800倍液,newNode
野麦,newNode
黄叶甲,newNode
牛蒡花叶病毒,newNode
10％菊?马乳油1500―2000倍液,newNode
Xanthomonasstewartii(Smith)Dowson,newNode
50%福美双或拌种双粉剂,newNode
96％硫酸铜溶液,newNode
Smaragdinanigrifrons(Hope),newNode
梧桐,newNode
波美1。一2。度石硫合剂,newNode
大豆轮纹病,newNode
褐缘绿刺蛾,newNode
括搭板,newNode
青虫菌6号10oo倍液,newNode
豹纹毒蛾,newNode
50％辛敌乳油1500―2000倍液,newNode
叶鞘组织内,newNode
Sphaerothecacucurbitae(Jacz)Z.Y.Zhao,newNode
豆类大豆毒蛾,newNode
半裸镰孢,newNode
50％甲基硫菌灵可湿性粉剂800倍液,newNode
73％克螨特乳油1000―2000倍液,newNode
棉花棉铃疫病,newNode
筋骨草,newNode
铜绿金龟子属丽金龟科,newNode
20％二溴氯丙烷(DBCP)颗粒剂,newNode
Macrosiphoniellasanborni(Gillette),newNode
黄宽条菜跳甲,newNode
35％卵虫净乳油,newNode
44％丙溴磷乳油,newNode
黑绿象虫,newNode
亚热带、热带深山老林中,newNode
甘蔗叶萎病,newNode
番石榴,newNode
紫穗槐,newNode
“黑秆疯”,newNode
Gerlachiaoryzae(HashiokaetYokogi)W.Gams,newNode
大孢指疫霉水稻变种,newNode
麻栎,newNode
药用植物益智轮绞褐斑病,newNode
15％哒螨灵(扫螨净、牵牛星)乳油2500倍液,newNode
枝枯病,newNode
20%三唑酮乳油1000-1500倍液,newNode
73％克螨特乳油,newNode
“垦易”微生物有机肥400―500倍液,newNode
花生跳盲蝽,newNode
苦楝,newNode
蛇麻花,newNode
50％纹枯利,newNode
文猿叶甲,newNode
47％加瑞农可湿性粉剂700倍液,newNode
六点蓟马,newNode
20％氯·马乳油1500一2000倍液,newNode
64％杀毒矾M：可湿性粉剂500倍液,newNode
TrichoplusisniHubner,newNode
6%乐必耕可湿性粉剂1000-1500倍液,newNode
细菌,newNode
亚麻生壳针孢,newNode
25%甲霜灵,newNode
25％亚胺硫磷乳油800—1000倍,newNode
PythiumdebaryanumHesse,newNode
钢丝虫,newNode
农用链霉素4000倍液,newNode
谷跳甲,newNode
15％灭螨灵乳油3500倍液,newNode
ExobasidiumrhododendriGramerr,newNode
2．5％功夫乳油4000倍液,newNode
磷化铝片,newNode
TrichometasphaeriaturcicaLuttr．Keissleriellaturcica(Luttr．)v．Arx,newNode
野甜菜,newNode
芝麻荚野螟,newNode
OeobiaundalisFabricius,newNode
2.5％保得乳油1500倍液,newNode
58％代森锰锌可湿性粉剂1000倍液,newNode
吊丝虫,newNode
50％多菌灵可湿性粉剂1000倍液,newNode
褐家鼠,newNode
花黎棒,newNode
IlattiarenalisMoore,newNode
1％对硫磷粉剂,newNode
杜鹃外担菌,newNode
长江南岸,newNode
Clketustrigonus(Thunberg),newNode
桑芽的外边,newNode
72.2%普力克水剂400倍液,newNode
HylemyiaplaturaMeigen,newNode
杂草,newNode
梨树,newNode
辛氰乳油,newNode
蚁虫,newNode
0.1％茶枯水,newNode
AspergilluscandidusLink,newNode
AraecerusfasciculatusDegeer,newNode
立枯丝核菌AG-4和AG1-IB菌丝融合群,newNode
黄鼠,newNode
三棱草,newNode
SclerotiumfumigatumNak.exHara.,newNode
1：4：480铜皂液,newNode
虎斑天牛,newNode
药用植物莲褐纹病,newNode
小麦颖枯病,newNode
亚乐得,newNode
25％喳硫磷乳油1500倍液,newNode
甲多丹,newNode
麦根腐旋胞腔菌,newNode
Helminthosporiumtritici-vulgarisNisikado,newNode
稻黑条矮缩病毒,newNode
土蝽科,newNode
47％加瑞农可湿性粉剂700―800倍液,newNode
黑斑病,newNode
15％三陛酮可湿性粉剂1000倍液,newNode
10％二遍净(吡虫啉)可湿性粉剂2000倍液,newNode
50%琥胶肥酸铜（DT）可湿性粉剂500倍液,newNode
拟澳洲赤眼蜂,newNode
NectriellaversonianaSacc.etPenz．,newNode
50％甲基硫菌灵,newNode
药用植物害虫常春藤圆盾蚧,newNode
PhalaerdipsaceaL.,newNode
80％敌敌畏乳．油1000倍液,newNode
G.oharanaNishik.etMatsum.,newNode
稻蓟马,newNode
4．5％高效顺反氯氰菊酯乳油,newNode
磷酸钙,newNode
青麻粉虱,newNode
所有地上部器官,newNode
70%代森锰锌可湿性粉剂400-600倍液,newNode
青矮,newNode
72.2％普力克水剂800倍液,newNode
亚洲,newNode
飞扬草,newNode
尖孢镰刀菌,newNode
OstriniakurentzoviMutuuraetMunroe,newNode
Phytomyzahorticola(Goureau),newNode
象鼻虫,newNode
40％七星保乳油600-800倍液,newNode
90%三乙膦酸铝可湿性粉剂400倍液,newNode
花生蚀叶野螟,newNode
ErysipheconvolvuliDC.var.dichotomaZheng&amp;Chen；,newNode
Stagonosporacurtisii(Berk.)Sacc.,newNode
南瓜,newNode
Coleosporiumsolidaginies(Schw．)Thum．,newNode
亚麻、胡麻锈病,newNode
58％甲霜灵,newNode
药用植物浮小麦根腐病,newNode
药用植物芦荟炭疽病,newNode
花序托(花盘,newNode
ErysiphepolygoniDC.,newNode
草莓疫霉稻疫霉变种,newNode
70%代森锰锌可湿性粉剂,newNode
鼻涕虫,newNode
幼苗全草,newNode
ThripsserratusKobus,newNode
文竹,newNode
茶树缺素症,newNode
药用植物稻白叶枯病,newNode
PapilioxuthusLinnaeus,newNode
10％映喃丹胶悬剂,newNode
长江为其南限,newNode
灰霉病,newNode
榆黄足毒蛾,newNode
10％赛波凯或35％赛丹乳油2000倍液,newNode
菊科植物,newNode
D．maydis(Berk．)Sacc．,newNode
Alfalfamosaicvirus,newNode
l0％双效灵水剂300倍液,newNode
亚麻、胡麻白粉病,newNode
稻秆蝇,newNode
果肉(假种皮),newNode
20％菊?马乳油2000倍液,newNode
40％乐果乳油500―l000倍液,newNode
桑树桑叶蝉,newNode
黄金小翅蜂科,newNode
黑虫,newNode
Harpalus(Parsileus)calceatus(Duftschmid),newNode
糜子粉,newNode
40％拌种双,newNode
10%氯氰菊酯乳剂(灭百可),newNode
祛风、活血、消肿、止痛,newNode
紫苜蓿,newNode
72％克露,newNode
LeucaspisjaponicaCockerell,newNode
70％代森锰锌可湿性粉剂400一500倍液,newNode
Albugoachyranthis(P.Henn.)Miyabe.,newNode
PlantagoasiaticaL.,newNode
药用植物麦冬炭疽病,newNode
大豆细菌斑疹病,newNode
PolygonumlapathifoliumL．var.salicifoliumSibth,newNode
草木灰过滤浸出液,newNode
棕背伯劳(鸟),newNode
矮慈姑,newNode
夹竹桃,newNode
幼嫩部位,newNode
药用植物薄荷白绢病,newNode
50%福美双可湿性粉剂500倍液,newNode
Pomaceacineata,newNode
葛苣,newNode
Broadbeanstrainvirus,newNode
50%甲基硫菌灵悬浮剂500倍液,newNode
北、东向靠近边境线,newNode
令箭荷花,newNode
Potat01eafr011virus,newNode
药用植物穿心莲枯萎病,newNode
25％灭幼脲3号悬浮剂1000倍液,newNode
茶避债虫,newNode
糜桑,newNode
Beetnecroticyel10wveinvirus,newNode
75％百菌清可湿性粉剂1000倍液,newNode
40%甲霜铜可湿性粉剂800倍液,newNode
P．lactucae-denticulatae,newNode
亚麻、胡麻枯萎病,newNode
苘麻,newNode
聚乙烯醇粘着剂,newNode
Phaeoramulariadioscorecae(E11i6etMartin)Deighton,newNode
灯笼果,newNode
高粱蚜,newNode
20％速杀菊酯,newNode
TilletiacontraversaK&uuml;hn,newNode
抗毒丰(0.5％菇类蛋白多糖)水剂300倍液,newNode
粘虫,newNode
Pseudomonasandropogonis(E.F.Smith)Stapp.,newNode
桑树白纹羽网病,newNode
水边,newNode
0．05％溴敌隆毒饵,newNode
苹毛丽金龟,newNode
Iragoidesfasciata(Moore),newNode
水稻长腿水叶甲,newNode
黄聚凤蝶,newNode
20％灭多威乳油2000倍液,newNode
50％甲基硫菌灵可湿性粉剂l000倍液,newNode
法国梧桐,newNode
平喘、宁嗽,newNode
Apriponagermari(Hope),newNode
甘蔗赤腐病,newNode
47％加瑞农可湿性粉剂500倍液,newNode
50％敌敌畏乳油1000倍液,newNode
桑树缺硼症,newNode
上部或中部叶片,newNode
药用植物党参菌核病,newNode
截虫,newNode
50％灭霉灵可湿性粉剂800倍液,newNode
50％辛琉磷,newNode
癌肿野杆菌,newNode
白薯绮夜蛾,newNode
40％敌?马乳油1500倍液,newNode
花蚤科,newNode
黍、稷(糜子)纹枯病,newNode
海河流域,newNode
95%绿亨1号精品4500倍液,newNode
高粱狭长蝽,newNode
万家宝,newNode
长尾鼠,newNode
甜菜网螟,newNode
15％链霉素,newNode
甘蔗环斑病,newNode
Pseudaonidiaduplex(Cockerell),newNode
PhyllostictasorghinaSacc．,newNode
菊粗状壳针孢,newNode
桑树舞毒蛾,newNode
PestalosphaeriaalpiniaeP.K.chietS.Q.Chen,newNode
幼株,newNode
水稻青枯病,newNode
老枝干,newNode
各种农作物,newNode
大豆茎枯病,newNode
玉米镰刀菌穗粒腐病,newNode
切叶蜂科,newNode
25％灭幼脲3号悬浮剂500倍液,newNode
尖镰孢菌穿心莲专化型,newNode
河南以南稻区,newNode
四川一带,newNode
黄跳蚤,newNode
C.pugnator,newNode
2％BO—10水剂100倍液,newNode
0．5％磷酸二氢钾溶液,newNode
Fusariumculmorum(W.G.Smith)Sacc.,newNode
蛾蜡蝉科,newNode
50％1605乳油,newNode
南斯拉夫,newNode
Pharbitispurpurea(L．)Voigt,newNode
药用植物西番莲茎腐病,newNode
56％磷化铝,newNode
蚕豆茎顶,newNode
药用植物山药镰刀茵枯萎病,newNode
珍珠梅短胖孢,newNode
肥沃的微酸性至中性土壤中,newNode
柑桔粉炒,newNode
0．02％～0．10％铂酸铵,newNode
鸡冠花,newNode
药用植物薄荷茎枯病,newNode
Wheatreddwarfvirus,newNode
F.solani(Martias)App.etWr.var.martii(App.etWr.)Wr.f.3Snyder,newNode
紫姬蜂,newNode
Oxyachinensis(Thunberg),newNode
Ho10trichiadiomphalia(Bates),newNode
柿椒,newNode
Nilaparvatalugens(Stdl),newNode
克霜氰可湿性粉剂800倍液,newNode
高粱产区,newNode
AcremoniumstictumW．Gams,newNode
25％三唑酮可湿性粉剂,newNode
西至四川,newNode
丁香假单胞杆菌菜豆致病变种,newNode
茎基l―3节,newNode
麦类,newNode
HydrelliagriseolaFallen,newNode
矮骨,newNode
Neovossiahorrida(Tak.)Padw.etAzmatKahn.,newNode
美洲斑潜蝇,newNode
薯蓣色链隔孢,newNode
灭杀毙(21％增效氰·马乳油)6000倍液,newNode
药用植物枸杞炭疽病,newNode
25％爱卡士(喹硫磷)乳油,newNode
72％杜邦克露可湿性粉剂800倍液,newNode
77%护丰安(氢氧化铜)可湿性粉剂700倍液,newNode
白僵菌（每克含孢子量300亿）,newNode
石榴鲜壳孢,newNode
广黑点瘤姬蜂,newNode
小造桥夜蛾,newNode
松毛虫赤眼蜂,newNode
50％的硫酸铵水,newNode
麦根蝽象,newNode
梨胶孢,newNode
50％宝路可湿性粉剂1000倍液,newNode
药用植物蒲公英白粉病,newNode
灰心斑病,newNode
黄疸病,newNode
50％辛硫磷乳油500倍液,newNode
40％菊?马乳油1000倍液,newNode
50％甲基对硫磷1500倍液,newNode
Omphisaanastomosalis(Guen6e),newNode
Dialeurodescitri(Ashmead)Hebst,newNode
车前草霜霉,newNode
12％绿乳铜乳油600倍液,newNode
8％杀虫威可湿性粉剂1500倍液,newNode
2．5％功夫菊酯乳油2000―3000倍液,newNode
功能叶片,newNode
1％硫酸锰水溶液,newNode
75%百菌清可湿性粉剂600倍液,newNode
20％敌氰乳油2000倍液,newNode
桑树桑小灰象虫,newNode
T.kanzawaiKishida,newNode
72%霜脲·锰锌,newNode
主轴,newNode
90％克菌壮可湿性粉剂1000倍液,newNode
大葱,newNode
烟草白粉病,newNode
尼泊尔,newNode
泰国,newNode
S．macrospora(Earle)Sutton,newNode
欧夹竹桃尾孢,newNode
75％百菌清可湿性粉剂600倍液,newNode
鞭毛茵亚门真菌,newNode
黍类,newNode
红麻,newNode
祛风湿、强筋骨、养血安胎、止咳,newNode
小麦黄矮病毒病,newNode
60%防霉宝70g,newNode
HelicosporiumnymphaearumRand,newNode
沟鼠,newNode
70%百菌清可湿性粉剂500倍液,newNode
1.5％乐果粉,newNode
熟果,newNode
90％晶体敌百虫l000倍液,newNode
首蒋,newNode
75％马拉硫磷乳油,newNode
Heliothisassulta(Guenee),newNode
各大麦栽培区,newNode
印度谷斑螟,newNode
芝麻黑斑病,newNode
菜蓝跳甲,newNode
柱枝双孢霉,newNode
药用植物害虫大螟,newNode
20％农绿宝乳油1500倍液,newNode
甲基异柳磷,newNode
Chondracrisrosearosea(DeGeer),newNode
江苏通州市,newNode
山茱萸,newNode
河北张家口,newNode
桃蛀心虫,newNode
20％林丹粉剂,newNode
核桃天牛,newNode
80％恶霜菌丹(赛得福)可湿性粉剂,newNode
黄麻枯腐病,newNode
玉米倒伏,newNode
药用植物害虫银纹夜蛾,newNode
Dionychopusniveus．,newNode
20％速灭杀丁乳油2000―2500倍液,newNode
Cercosporahibisci,newNode
溴氰菊酯制成毒笔,newNode
药用植物害虫绿尾大蚕蛾,newNode
芸苔链格孢,newNode
5％氟铃脲乳油,newNode
药用植物害虫黄刺蛾,newNode
铜绿,newNode
福建中北部,newNode
F.oxysporumvar.redolens(Wolle.)Gordon,newNode
健胃、祛寒、发汁、解毒,newNode
水狗,newNode
10.8%四溴菊酯乳油5000~7500倍液,newNode
车兜虫,newNode
山桃,newNode
孢桐,newNode
等翅目,newNode
50%甲基硫菌灵可湿性粉剂1000倍液,newNode
轮斑病,newNode
C.dematiμm(Pers.)Grove,newNode
枇杷,newNode
茶叶家蚕,newNode
Me10idogyneincognita(Kofoidandwhite)Chitwood,newNode
Uromycessetariae-italicae(Diet)Yoshino,newNode
角卷霉或卷喙旋孢霉,newNode
75%萎锈灵可湿性粉剂,newNode
ErwiniaCarotovoraSubsp.carotovora(Jones)Bergeyetal．,newNode
燕麦(晕疫)假单胞菌,newNode
一种茶尾孢菌,newNode
长江流域及以南地区,newNode
1，8％爱比菌素乳油,newNode
AphismedicaginisKoch.,newNode
小菜蛾,newNode
棉小叶点霉,newNode
BradysiaodoriphagaFayangetZhang,newNode
50％北农931杀虫剂,newNode
烟蚜,newNode
烟草胞囊线虫,newNode
蔗褐蓟马,newNode
油菜大菜螟,newNode
蓑蛾疣姬蜂,newNode
蔷薇科叉丝单囊壳,newNode
30％氧氯化铜悬浮剂600一800倍液,newNode
72%克露或克霜氰,newNode
0.5%氯化钾,newNode
国产50％抗蚜威可湿性粉剂2000倍液,newNode
25%亚胺硫磷乳油800倍液,newNode
豌豆黑斑病,newNode
水稻云形病,newNode
Eragrostispilosa(L．)Beauv．,newNode
马铃薯块茎蛾赤腹姬蜂,newNode
20％百科乳油3000倍液,newNode
宫部旋孢腔菌,newNode
药用植物白花曼陀罗灰斑病,newNode
谷蠹,newNode
秆腐病,newNode
FusariumoxysporumSchl.f.sp.chrysanthemiSnyderetHansen,newNode
藜科,newNode
发育中的棉籽,newNode
5%氟虫脲可分散液剂500倍混合液,newNode
甘蔗白螟,newNode
小麦黄斑病,newNode
十字花科植物,newNode
茶树冻害,newNode
日本方头甲,newNode
2．5％敌杀死乳油3000一4000倍液,newNode
双毛芒蝇,newNode
白虱,newNode
棉花弧丽金龟,newNode
F．batatatisWr．var．vanillaeTuck,newNode
天宝豆,newNode
1％灭杀毙乳油3000倍液,newNode
Cercosporidiμmgotoanμm(Togashi),newNode
40％氧乐果2000倍液,newNode
黄脚蕈蚊,newNode
50%农利灵可湿性粉剂1000-1500倍液,newNode
土蚰蜒,newNode
砖红镰孢,newNode
稻卷角霉,newNode
稻飞虱,newNode
Ampullariumcrosseana,newNode
长江流域及以南各省,newNode
70％甲基硫菌灵可湿性粉剂500—600倍液,newNode
大马蓼,newNode
河北,newNode
EntomscelisorientalisMotschusky,newNode
水稻稻筒水螟,newNode
苕子,newNode
消肿散结、解毒止痛,newNode
0．6％无名霸(苦参烟碱醇液)1000―1500倍液,newNode
2．5％溴氰菊酯乳油2500倍液,newNode
50％复方硫菌灵可湿性粉剂800倍液,newNode
0.2％苦参碱(克蚜素)水剂400倍液,newNode
板栗,newNode
油菜萝卜地种蝇,newNode
20％绿?马乳油1500倍液,newNode
72.2％普力克(霜霉威)水剂800倍液,newNode
灭扫利20％乳油2000倍液,newNode
75%百菌清悬浮剂500倍液,newNode
燕麦坚黑粉菌,newNode
Contariniasp.,newNode
MarucatestulalisGeyer,newNode
氯化钙,newNode
药用植物害虫紫苏野螟,newNode
30%因体石硫合剂150倍液,newNode
核盘菌,newNode
干树皮,newNode
A．subvittatusMotschulsky,newNode
野麻,newNode
南方根结线虫4号小种,newNode
GloeosporiummusarumCookletetMass.,newNode
健脾开胃、和中消食,newNode
50％速克灵可湿性粉剂l500倍液,newNode
棉挑虫,newNode
荚果,newNode
80%炭疽福美1000倍液,newNode
药用植物害虫斜纹夜娥,newNode
蚕豆象,newNode
Phacellautlwstubif10rus,newNode
近土表的茎秆,newNode
秆锈病,newNode
25％亚胺硫磷乳油,newNode
花生褐斑病,newNode
Beetmildyel10wingvirus,newNode
Megalurothripssjostadti(Trybom),newNode
大绿象虫,newNode
药用植物百合白绢病,newNode
HelminthosporiumsesamiMiyake,newNode
菊姬长管蚜,newNode
50%西维因可湿性粉剂,newNode
35％呋喃丹胶悬剂,newNode
Ricetungrosphericalvirus,newNode
棉花缺素症,newNode
三唑酮,newNode
苹叶蚜虫,newNode
芥菜,newNode
桑细茵性青枯病,newNode
Lilymosaicvirus,newNode
烟草胞囊线虫病,newNode
50％乐果乳油1500倍液,newNode
铜绿丽金龟,newNode
Peanutmottlevirus,newNode
高梁,newNode
20%敌畔酮可湿性粉剂500-800倍液,newNode
磷石膏,newNode
药用植物害虫花弄蝶,newNode
40％灭抗铃乳油1200倍液,newNode
4％敌马粉剂,newNode
2％敌菌灵粉剂,newNode
25％除螨酯(酚螨酯)乳油1000―2000倍液,newNode
50%多菌灵可湿性粉剂800倍液,newNode
Pseudomonasstriafaciens(Elliott)StarretBurkholder,newNode
谷小蠹虫,newNode
Atheliarolfsii(Curzi)Tu.&amp;Kimbrough.,newNode
?药用植物贝母鳞茎腐烂病,newNode
CylindrosporiumeleocharidisLentz,newNode
72％农用硫酸链霉素可溶性粉剂3000-4000倍液,newNode
烟草破烂叶斑病,newNode
搬仓鼠,newNode
鸭舌草,newNode
Cephalanoplossetosum(Willd．)Kitaml,newNode
世界性,newNode
50％腐霉利(速克灵)可湿性粉剂1500―2000倍液,newNode
Ganodermaapplanatμm(Pers.)Pat．,newNode
Achaeajanata(Linnaeus),newNode
花叶虫,newNode
10%世高1500倍液,newNode
苜蓿茶,newNode
10%灭锈胺乳剂,newNode
警纹地夜蛾,newNode
10％除尽乳油,newNode
油菜肖藜泉蝇,newNode
50％扑海因可湿性粉剂l000―1500倍液,newNode
Vncinuliellaaustraliana(Maclp．)Zheng&amp;Chen,newNode
花萼,newNode
黑秆疯,newNode
平腹小蜂,newNode
40％七星保乳油600―800倍液,newNode
樱桃红蜘蛛,newNode
4.5％甲敌粉剂,newNode
2.5%功夫菊酯,newNode
AphisatrataZhang,newNode
芝麻枯萎病,newNode
小曼长春花,newNode
25％多菌灵可湿性粉剂,newNode
E.trifoliiGrev．,newNode
洋兰,newNode
胡萝卜软腐欧文氏菌胡萝卜软腐致病型,newNode
日本酵素菌沤制的堆肥或腐熟有机肥,newNode
Aularchesmiliarisscabiosus(Fab.),newNode
葱韭蓟马,newNode
海南岛,newNode
甘蔗眼斑病,newNode
AphanomyceseuteichesDrechsler,newNode
大豆天蛾,newNode
警纹夜蛾,newNode
AscochytaglycinesMiura,newNode
Neoceratitisasiatica(Becker),newNode
燥湿怯风、生肌止痛、活络,newNode
10％天王星乳油5000一6000倍液,newNode
理气、散结、止痛、益气补血,newNode
“火龙秧子”,newNode
12%绿乳铜乳油500倍液,newNode
36%甲基硫菌灵悬浮剂600倍液,newNode
帜壳,newNode
东方蛎盾蚧,newNode
食虫熔,newNode
茂物隔担耳菌,newNode
ScotinopharahorvathinDistant,newNode
菌苗,newNode
80％敌敌畏乳油800-900倍液,newNode
10％天王星乳油5000倍液,newNode
青虫,newNode
10％施良灵胶悬剂1000倍液,newNode
长江两岸,newNode
XylinophorusmongolicusFaust,newNode
25％辛?灭?氯乳油(棉农乐)2000倍液(北京顺义县农药厂),newNode
药用植物害虫葱蓟马,newNode
河滩,newNode
35％赛丹乳油100-130ml,newNode
绒毛头,newNode
Coquilet,newNode
苎麻麻尾孢,newNode
山药白涩病,newNode
潮虫,newNode
小青虫,newNode
小米蚜,newNode
知母,newNode
1：1：200倍式波尔多液,newNode
CylindrocladiumscopariumMorganetAoyaqi,newNode
75％辛硫磷乳油,newNode
AeolesthesindutaNewman,newNode
50％敌敌畏乳油800―1000倍液,newNode
棉花枯萎病,newNode
甜菜黄化病毒病,newNode
Alternariatriticna,newNode
